DateTime,RATE A,RATE B,RATE C,Total
2020-01-01 00:45:00,,,47.03,47.03
2020-01-01 01:00:00,,,47.79,47.79
2020-01-01 01:15:00,,,48.46,48.46
2020-01-01 01:30:00,,,47.41,47.41
2020-01-01 01:45:00,,,47.1,47.1
2020-01-01 02:00:00,,,47.42,47.42
2020-01-01 02:15:00,,,47.56,47.56
2020-01-01 02:30:00,,,47.65,47.65
2020-01-01 02:45:00,,,48.06,48.06
2020-01-01 03:00:00,,,47.61,47.61
2020-01-01 03:15:00,,,48.09,48.09
2020-01-01 03:30:00,,,47.38,47.38
2020-01-01 03:45:00,,,47.48,47.48
2020-01-01 04:00:00,,,47.77,47.77
2020-01-01 04:15:00,,,47.89,47.89
2020-01-01 04:30:00,,,47.14,47.14
2020-01-01 04:45:00,,,47.56,47.56
2020-01-01 05:00:00,,,46.78,46.78
2020-01-01 05:15:00,,,45.99,45.99
2020-01-01 05:30:00,,,46.06,46.06
2020-01-01 05:45:00,,,45.43,45.43
2020-01-01 06:00:00,,,45.69,45.69
2020-01-01 06:15:00,,,45.23,45.23
2020-01-01 06:30:00,,,42.86,42.86
2020-01-01 06:45:00,,,36.09,36.09
2020-01-01 07:00:00,,,34.66,34.66
2020-01-01 07:15:00,,,34.73,34.73
2020-01-01 07:30:00,,,33.54,33.54
2020-01-01 07:45:00,,,32.45,32.45
2020-01-01 08:00:00,,,30.02,30.02
2020-01-01 08:15:00,,,28.82,28.82
2020-01-01 08:30:00,,,26.02,26.02
2020-01-01 08:45:00,,,23.78,23.78
2020-01-01 09:00:00,,,19.94,19.94
2020-01-01 09:15:00,,,19.59,19.59
2020-01-01 09:30:00,,,14.54,14.54
2020-01-01 09:45:00,,,12.62,12.62
2020-01-01 10:00:00,,,13.2,13.2
2020-01-01 10:15:00,,,12.24,12.24
2020-01-01 10:30:00,,,11.17,11.17
2020-01-01 10:45:00,,,11.66,11.66
2020-01-01 11:00:00,,,12.09,12.09
2020-01-01 11:15:00,,,11.84,11.84
2020-01-01 11:30:00,,,11.98,11.98
2020-01-01 11:45:00,,,8.2,8.2
2020-01-01 12:00:00,,,6.41,6.41
