DateTime,RATE A,RATE B,RATE C,Total
2020-04-01 00:45:00,,59.43,,59.43
2020-04-01 01:00:00,,59.66,,59.66
2020-04-01 01:15:00,,59.02,,59.02
2020-04-01 01:30:00,,57.99,,57.99
2020-04-01 01:45:00,,57.66,,57.66
2020-04-01 02:00:00,,56.13,,56.13
2020-04-01 02:15:00,,55.53,,55.53
2020-04-01 02:30:00,,55.53,,55.53
2020-04-01 02:45:00,,55.6,,55.6
2020-04-01 03:00:00,,55.93,,55.93
2020-04-01 03:15:00,,55.53,,55.53
2020-04-01 03:30:00,,55.32,,55.32
2020-04-01 03:45:00,,54.56,,54.56
2020-04-01 04:00:00,,53.78,,53.78
2020-04-01 04:15:00,,53.52,,53.52
2020-04-01 04:30:00,,53.82,,53.82
2020-04-01 04:45:00,,52.65,,52.65
2020-04-01 05:00:00,,52.22,,52.22
2020-04-01 05:15:00,,52.93,,52.93
2020-04-01 05:30:00,,52.22,,52.22
2020-04-01 05:45:00,,53.79,,53.79
2020-04-01 06:00:00,,53.43,,53.43
2020-04-01 06:15:00,,44.71,,44.71
2020-04-01 06:30:00,,43.15,,43.15
2020-04-01 06:45:00,,41.41,,41.41
2020-04-01 07:00:00,,39.54,,39.54
2020-04-01 07:15:00,,37.94,,37.94
2020-04-01 07:30:00,,36.64,,36.64
2020-04-01 07:45:00,,37.78,,37.78
2020-04-01 08:00:00,,35.0,,35.0
2020-04-01 08:15:00,,36.49,,36.49
2020-04-01 08:30:00,,37.47,,37.47
2020-04-01 08:45:00,,35.43,,35.43
2020-04-01 09:00:00,,35.91,,35.91
2020-04-01 09:15:00,32.94,,,32.94
2020-04-01 09:30:00,36.87,,,36.87
2020-04-01 09:45:00,34.9,,,34.9
2020-04-01 10:00:00,32.76,,,32.76
2020-04-01 10:15:00,31.45,,,31.45
2020-04-01 10:30:00,34.11,,,34.11
2020-04-01 10:45:00,35.38,,,35.38
2020-04-01 11:00:00,43.69,,,43.69
2020-04-01 11:15:00,38.83,,,38.83
2020-04-01 11:30:00,51.46,,,51.46
2020-04-01 11:45:00,78.63,,,78.63
2020-04-01 12:00:00,89.59,,,89.59
2020-04-01 12:15:00,88.23,,,88.23
2020-04-01 12:30:00,83.18,,,83.18
2020-04-01 12:45:00,78.32,,,78.32
2020-04-01 13:00:00,77.98,,,77.98
2020-04-01 13:15:00,58.85,,,58.85
2020-04-01 13:30:00,66.64,,,66.64
2020-04-01 13:45:00,70.73,,,70.73
2020-04-01 14:00:00,73.17,,,73.17
