DateTime,RATE A,RATE B,RATE C,Total
2020-05-01 00:45:00,,,64.17,64.17
2020-05-01 01:00:00,,,63.43,63.43
2020-05-01 01:15:00,,,62.56,62.56
2020-05-01 01:30:00,,,63.21,63.21
2020-05-01 01:45:00,,,62.31,62.31
2020-05-01 02:00:00,,,60.39,60.39
2020-05-01 02:15:00,,,60.22,60.22
2020-05-01 02:30:00,,,59.05,59.05
2020-05-01 02:45:00,,,59.16,59.16
2020-05-01 03:00:00,,,59.2,59.2
2020-05-01 03:15:00,,,58.23,58.23
2020-05-01 03:30:00,,,57.61,57.61
2020-05-01 03:45:00,,,57.84,57.84
2020-05-01 04:00:00,,,57.17,57.17
2020-05-01 04:15:00,,,56.64,56.64
2020-05-01 04:30:00,,,56.61,56.61
2020-05-01 04:45:00,,,58.29,58.29
2020-05-01 05:00:00,,,58.53,58.53
2020-05-01 05:15:00,,,57.89,57.89
2020-05-01 05:30:00,,,58.59,58.59
2020-05-01 05:45:00,,,53.88,53.88
2020-05-01 06:00:00,,,46.8,46.8
2020-05-01 06:15:00,,,44.77,44.77
2020-05-01 06:30:00,,,49.36,49.36
2020-05-01 06:45:00,,,46.62,46.62
2020-05-01 07:00:00,,,45.38,45.38
2020-05-01 07:15:00,,,47.26,47.26
2020-05-01 07:30:00,,,45.08,45.08
2020-05-01 07:45:00,,,41.46,41.46
2020-05-01 08:00:00,,,39.83,39.83
2020-05-01 08:15:00,,,53.11,53.11
2020-05-01 08:30:00,,,59.65,59.65
2020-05-01 08:45:00,,,77.32,77.32
2020-05-01 09:00:00,,,89.37,89.37
2020-05-01 09:15:00,,,100.9,100.9
2020-05-01 09:30:00,,,119.66,119.66
2020-05-01 09:45:00,,,116.82,116.82
2020-05-01 10:00:00,,,123.37,123.37
2020-05-01 10:15:00,,,139.85,139.85
2020-05-01 10:30:00,,,142.51,142.51
2020-05-01 10:45:00,,,143.74,143.74
2020-05-01 11:00:00,,,149.4,149.4
2020-05-01 11:15:00,,,161.77,161.77
2020-05-01 11:30:00,,,159.37,159.37
2020-05-01 11:45:00,,,151.13,151.13
2020-05-01 12:00:00,,,124.51,124.51
2020-05-01 12:15:00,,,120.26,120.26
2020-05-01 12:30:00,,,126.96,126.96
2020-05-01 12:45:00,,,139.89,139.89
2020-05-01 13:00:00,,,118.4,118.4
2020-05-01 13:15:00,,,108.86,108.86
2020-05-01 13:30:00,,,121.61,121.61
2020-05-01 13:45:00,,,128.54,128.54
2020-05-01 14:00:00,,,144.2,144.2
2020-05-01 14:15:00,,,153.8,153.8
2020-05-01 14:30:00,,,162.73,162.73
2020-05-01 14:45:00,,,184.82,184.82
2020-05-01 15:00:00,,,186.15,186.15
2020-05-01 15:15:00,,,176.3,176.3
2020-05-01 15:30:00,,,175.67,175.67
2020-05-01 15:45:00,,,154.28,154.28
2020-05-01 16:00:00,,,165.27,165.27
2020-05-01 16:15:00,,,153.21,153.21
2020-05-01 16:30:00,,,140.77,140.77
2020-05-01 16:45:00,,,123.39,123.39
2020-05-01 17:00:00,,,99.27,99.27
2020-05-01 17:15:00,,,89.93,89.93
2020-05-01 17:30:00,,,82.62,82.62
2020-05-01 17:45:00,,,74.32,74.32
2020-05-01 18:00:00,,,70.94,70.94
2020-05-01 18:15:00,,,70.2,70.2
2020-05-01 18:30:00,,,65.5,65.5
2020-05-01 18:45:00,,,65.65,65.65
2020-05-01 19:00:00,,,65.63,65.63
2020-05-01 19:15:00,,,66.34,66.34
2020-05-01 19:30:00,,,66.68,66.68
2020-05-01 19:45:00,,,64.51,64.51
2020-05-01 20:00:00,,,65.8,65.8
2020-05-01 20:15:00,,,64.73,64.73
2020-05-01 20:30:00,,,62.91,62.91
2020-05-01 20:45:00,,,61.36,61.36
2020-05-01 21:00:00,,,63.43,63.43
2020-05-01 21:15:00,,,60.33,60.33
2020-05-01 21:30:00,,,63.57,63.57
