DateTime,RATE A,RATE B,RATE C,Total
2020-10-01 00:45:00,,89.8,,89.8
2020-10-01 01:00:00,,88.31,,88.31
2020-10-01 01:15:00,,86.98,,86.98
2020-10-01 01:30:00,,85.79,,85.79
2020-10-01 01:45:00,,84.68,,84.68
2020-10-01 02:00:00,,84.32,,84.32
2020-10-01 02:15:00,,84.91,,84.91
2020-10-01 02:30:00,,81.1,,81.1
2020-10-01 02:45:00,,70.23,,70.23
2020-10-01 03:00:00,,68.82,,68.82
2020-10-01 03:15:00,,66.32,,66.32
2020-10-01 03:30:00,,69.06,,69.06
2020-10-01 03:45:00,,67.42,,67.42
2020-10-01 04:00:00,,65.62,,65.62
2020-10-01 04:15:00,,66.57,,66.57
2020-10-01 04:30:00,,64.63,,64.63
2020-10-01 04:45:00,,65.03,,65.03
2020-10-01 05:00:00,,63.47,,63.47
2020-10-01 05:15:00,,65.89,,65.89
2020-10-01 05:30:00,,65.59,,65.59
2020-10-01 05:45:00,,64.82,,64.82
2020-10-01 06:00:00,,66.26,,66.26
2020-10-01 06:15:00,,69.11,,69.11
2020-10-01 06:30:00,,66.31,,66.31
2020-10-01 06:45:00,,84.95,,84.95
2020-10-01 07:00:00,,85.93,,85.93
2020-10-01 07:15:00,,92.54,,92.54
2020-10-01 07:30:00,,107.55,,107.55
2020-10-01 07:45:00,,114.3,,114.3
2020-10-01 08:00:00,,125.08,,125.08
2020-10-01 08:15:00,,141.13,,141.13
2020-10-01 08:30:00,,188.6,,188.6
2020-10-01 08:45:00,,256.74,,256.74
2020-10-01 09:00:00,,302.53,,302.53
2020-10-01 09:15:00,308.41,,,308.41
2020-10-01 09:30:00,323.79,,,323.79
2020-10-01 09:45:00,345.74,,,345.74
2020-10-01 10:00:00,357.25,,,357.25
2020-10-01 10:15:00,358.39,,,358.39
2020-10-01 10:30:00,349.03,,,349.03
2020-10-01 10:45:00,360.57,,,360.57
2020-10-01 11:00:00,360.76,,,360.76
2020-10-01 11:15:00,367.76,,,367.76
2020-10-01 11:30:00,334.27,,,334.27
2020-10-01 11:45:00,316.03,,,316.03
2020-10-01 12:00:00,317.98,,,317.98
2020-10-01 12:15:00,308.31,,,308.31
2020-10-01 12:30:00,320.4,,,320.4
2020-10-01 12:45:00,318.47,,,318.47
2020-10-01 13:00:00,343.8,,,343.8
2020-10-01 13:15:00,352.11,,,352.11
2020-10-01 13:30:00,370.34,,,370.34
2020-10-01 13:45:00,383.15,,,383.15
2020-10-01 14:00:00,388.57,,,388.57
2020-10-01 14:15:00,392.51,,,392.51
2020-10-01 14:30:00,390.15,,,390.15
2020-10-01 14:45:00,389.61,,,389.61
2020-10-01 15:00:00,386.79,,,386.79
2020-10-01 15:15:00,382.86,,,382.86
2020-10-01 15:30:00,362.34,,,362.34
2020-10-01 15:45:00,359.01,,,359.01
2020-10-01 16:00:00,353.86,,,353.86
2020-10-01 16:15:00,335.59,,,335.59
2020-10-01 16:30:00,304.06,,,304.06
2020-10-01 16:45:00,275.6,,,275.6
2020-10-01 17:00:00,247.01,,,247.01
2020-10-01 17:15:00,217.9,,,217.9
2020-10-01 17:30:00,192.59,,,192.59
2020-10-01 17:45:00,159.09,,,159.09
2020-10-01 18:00:00,142.94,,,142.94
2020-10-01 18:15:00,143.14,,,143.14
2020-10-01 18:30:00,138.4,,,138.4
2020-10-01 18:45:00,131.45,,,131.45
2020-10-01 19:00:00,126.0,,,126.0
2020-10-01 19:15:00,124.0,,,124.0
2020-10-01 19:30:00,121.79,,,121.79
2020-10-01 19:45:00,116.49,,,116.49
2020-10-01 20:00:00,105.89,,,105.89
2020-10-01 20:15:00,102.25,,,102.25
