DateTime,RATE A,RATE B,RATE C,Total
2022-08-01 00:45:00,,71.06,,71.06
2022-08-01 01:00:00,,70.36,,70.36
2022-08-01 01:15:00,,69.31,,69.31
2022-08-01 01:30:00,,70.29,,70.29
2022-08-01 01:45:00,,70.92,,70.92
2022-08-01 02:00:00,,68.43,,68.43
2022-08-01 02:15:00,,69.43,,69.43
2022-08-01 02:30:00,,67.98,,67.98
2022-08-01 02:45:00,,67.92,,67.92
2022-08-01 03:00:00,,67.81,,67.81
2022-08-01 03:15:00,,66.73,,66.73
2022-08-01 03:30:00,,67.1,,67.1
2022-08-01 03:45:00,,66.02,,66.02
2022-08-01 04:00:00,,65.72,,65.72
2022-08-01 04:15:00,,65.43,,65.43
2022-08-01 04:30:00,,65.53,,65.53
2022-08-01 04:45:00,,66.6,,66.6
2022-08-01 05:00:00,,66.17,,66.17
2022-08-01 05:15:00,,65.51,,65.51
2022-08-01 05:30:00,,66.28,,66.28
2022-08-01 05:45:00,,64.15,,64.15
2022-08-01 06:00:00,,62.61,,62.61
2022-08-01 06:15:00,,62.28,,62.28
2022-08-01 06:30:00,,64.49,,64.49
2022-08-01 06:45:00,,65.24,,65.24
2022-08-01 07:00:00,,71.53,,71.53
2022-08-01 07:15:00,,80.11,,80.11
2022-08-01 07:30:00,,90.59,,90.59
2022-08-01 07:45:00,,94.79,,94.79
2022-08-01 08:00:00,,113.44,,113.44
2022-08-01 08:15:00,,130.64,,130.64
2022-08-01 08:30:00,,145.63,,145.63
2022-08-01 08:45:00,,159.65,,159.65
2022-08-01 09:00:00,,179.34,,179.34
2022-08-01 09:15:00,192.33,,,192.33
2022-08-01 09:30:00,188.35,,,188.35
2022-08-01 09:45:00,191.48,,,191.48
2022-08-01 10:00:00,188.81,,,188.81
2022-08-01 10:15:00,162.17,,,162.17
2022-08-01 10:30:00,199.57,,,199.57
2022-08-01 10:45:00,239.17,,,239.17
2022-08-01 11:00:00,262.7,,,262.7
2022-08-01 11:15:00,274.62,,,274.62
2022-08-01 11:30:00,296.19,,,296.19
2022-08-01 11:45:00,281.77,,,281.77
2022-08-01 12:00:00,273.09,,,273.09
2022-08-01 12:15:00,282.8,,,282.8
2022-08-01 12:30:00,295.44,,,295.44
2022-08-01 12:45:00,317.49,,,317.49
2022-08-01 13:00:00,322.59,,,322.59
2022-08-01 13:15:00,319.1,,,319.1
2022-08-01 13:30:00,324.52,,,324.52
2022-08-01 13:45:00,321.04,,,321.04
2022-08-01 14:00:00,312.15,,,312.15
2022-08-01 14:15:00,320.45,,,320.45
2022-08-01 14:30:00,344.68,,,344.68
2022-08-01 14:45:00,336.05,,,336.05
2022-08-01 15:00:00,341.8,,,341.8
2022-08-01 15:15:00,312.79,,,312.79
2022-08-01 15:30:00,312.49,,,312.49
2022-08-01 15:45:00,322.74,,,322.74
2022-08-01 16:00:00,310.55,,,310.55
2022-08-01 16:15:00,262.51,,,262.51
2022-08-01 16:30:00,217.82,,,217.82
2022-08-01 16:45:00,184.18,,,184.18
2022-08-01 17:00:00,165.63,,,165.63
2022-08-01 17:15:00,152.13,,,152.13
2022-08-01 17:30:00,138.4,,,138.4
2022-08-01 17:45:00,126.6,,,126.6
2022-08-01 18:00:00,114.57,,,114.57
2022-08-01 18:15:00,108.73,,,108.73
2022-08-01 18:30:00,110.53,,,110.53
2022-08-01 18:45:00,105.2,,,105.2
2022-08-01 19:00:00,103.52,,,103.52
2022-08-01 19:15:00,108.48,,,108.48
2022-08-01 19:30:00,105.2,,,105.2
2022-08-01 19:45:00,101.71,,,101.71
2022-08-01 20:00:00,101.31,,,101.31
2022-08-01 20:15:00,92.87,,,92.87
2022-08-01 20:30:00,95.43,,,95.43
2022-08-01 20:45:00,98.13,,,98.13
2022-08-01 21:00:00,96.61,,,96.61
2022-08-01 21:15:00,92.28,,,92.28
2022-08-01 21:30:00,91.97,,,91.97
2022-08-01 21:45:00,95.27,,,95.27
2022-08-01 22:00:00,90.87,,,90.87
2022-08-01 22:15:00,,88.19,,88.19
2022-08-01 22:30:00,,90.28,,90.28
2022-08-01 22:45:00,,87.28,,87.28
2022-08-01 23:00:00,,86.06,,86.06
2022-08-01 23:15:00,,85.8,,85.8
2022-08-01 23:30:00,,83.68,,83.68
2022-08-01 23:45:00,,84.6,,84.6
2022-08-02 00:15:00,,81.92,,81.92
2022-08-02 00:30:00,,81.7,,81.7
2022-08-02 00:45:00,,78.94,,78.94
2022-08-02 01:00:00,,78.09,,78.09
2022-08-02 01:15:00,,79.88,,79.88
2022-08-02 01:30:00,,77.36,,77.36
2022-08-02 01:45:00,,77.08,,77.08
