DateTime,RATE A,RATE B,RATE C,Total
2022-09-01 00:45:00,,88.18,,88.18
2022-09-01 01:00:00,,88.12,,88.12
2022-09-01 01:15:00,,85.62,,85.62
2022-09-01 01:30:00,,82.8,,82.8
2022-09-01 01:45:00,,82.68,,82.68
2022-09-01 02:00:00,,82.16,,82.16
2022-09-01 02:15:00,,81.19,,81.19
2022-09-01 02:30:00,,81.62,,81.62
2022-09-01 02:45:00,,79.37,,79.37
2022-09-01 03:00:00,,79.43,,79.43
2022-09-01 03:15:00,,80.22,,80.22
2022-09-01 03:30:00,,78.0,,78.0
2022-09-01 03:45:00,,78.13,,78.13
2022-09-01 04:00:00,,78.11,,78.11
2022-09-01 04:15:00,,76.47,,76.47
2022-09-01 04:30:00,,77.26,,77.26
2022-09-01 04:45:00,,77.29,,77.29
2022-09-01 05:00:00,,76.78,,76.78
2022-09-01 05:15:00,,75.81,,75.81
2022-09-01 05:30:00,,75.16,,75.16
2022-09-01 05:45:00,,75.09,,75.09
2022-09-01 06:00:00,,72.73,,72.73
2022-09-01 06:15:00,,72.16,,72.16
2022-09-01 06:30:00,,69.81,,69.81
2022-09-01 06:45:00,,72.34,,72.34
2022-09-01 07:00:00,,74.64,,74.64
2022-09-01 07:15:00,,80.13,,80.13
2022-09-01 07:30:00,,93.65,,93.65
2022-09-01 07:45:00,,95.22,,95.22
2022-09-01 08:00:00,,99.35,,99.35
2022-09-01 08:15:00,,146.21,,146.21
2022-09-01 08:30:00,,219.84,,219.84
2022-09-01 08:45:00,,270.03,,270.03
2022-09-01 09:00:00,,300.66,,300.66
2022-09-01 09:15:00,325.5,,,325.5
2022-09-01 09:30:00,325.67,,,325.67
2022-09-01 09:45:00,336.01,,,336.01
2022-09-01 10:00:00,326.45,,,326.45
2022-09-01 10:15:00,330.3,,,330.3
2022-09-01 10:30:00,322.61,,,322.61
2022-09-01 10:45:00,318.22,,,318.22
2022-09-01 11:00:00,313.32,,,313.32
2022-09-01 11:15:00,308.07,,,308.07
2022-09-01 11:30:00,307.36,,,307.36
2022-09-01 11:45:00,301.87,,,301.87
2022-09-01 12:00:00,297.16,,,297.16
2022-09-01 12:15:00,298.84,,,298.84
2022-09-01 12:30:00,320.79,,,320.79
2022-09-01 12:45:00,320.33,,,320.33
2022-09-01 13:00:00,349.31,,,349.31
2022-09-01 13:15:00,349.4,,,349.4
2022-09-01 13:30:00,358.14,,,358.14
2022-09-01 13:45:00,364.08,,,364.08
2022-09-01 14:00:00,358.14,,,358.14
2022-09-01 14:15:00,353.08,,,353.08
2022-09-01 14:30:00,347.2,,,347.2
2022-09-01 14:45:00,324.53,,,324.53
2022-09-01 15:00:00,318.26,,,318.26
2022-09-01 15:15:00,309.45,,,309.45
2022-09-01 15:30:00,306.25,,,306.25
2022-09-01 15:45:00,307.42,,,307.42
2022-09-01 16:00:00,293.82,,,293.82
2022-09-01 16:15:00,267.17,,,267.17
2022-09-01 16:30:00,236.53,,,236.53
2022-09-01 16:45:00,207.63,,,207.63
2022-09-01 17:00:00,175.71,,,175.71
2022-09-01 17:15:00,154.01,,,154.01
2022-09-01 17:30:00,142.67,,,142.67
2022-09-01 17:45:00,132.62,,,132.62
2022-09-01 18:00:00,124.74,,,124.74
2022-09-01 18:15:00,119.51,,,119.51
2022-09-01 18:30:00,117.04,,,117.04
2022-09-01 18:45:00,112.92,,,112.92
2022-09-01 19:00:00,110.7,,,110.7
2022-09-01 19:15:00,110.98,,,110.98
2022-09-01 19:30:00,110.62,,,110.62
2022-09-01 19:45:00,100.52,,,100.52
2022-09-01 20:00:00,95.52,,,95.52
2022-09-01 20:15:00,94.12,,,94.12
2022-09-01 20:30:00,94.43,,,94.43
2022-09-01 20:45:00,93.46,,,93.46
2022-09-01 21:00:00,96.11,,,96.11
2022-09-01 21:15:00,93.62,,,93.62
2022-09-01 21:30:00,92.76,,,92.76
2022-09-01 21:45:00,94.36,,,94.36
2022-09-01 22:00:00,92.43,,,92.43
2022-09-01 22:15:00,,90.12,,90.12
2022-09-01 22:30:00,,91.32,,91.32
2022-09-01 22:45:00,,90.47,,90.47
2022-09-01 23:00:00,,87.6,,87.6
2022-09-01 23:15:00,,86.77,,86.77
2022-09-01 23:30:00,,85.08,,85.08
2022-09-01 23:45:00,,83.88,,83.88
2022-09-02 00:15:00,,80.87,,80.87
2022-09-02 00:30:00,,83.13,,83.13
2022-09-02 00:45:00,,79.37,,79.37
2022-09-02 01:00:00,,77.97,,77.97
2022-09-02 01:15:00,,79.6,,79.6
2022-09-02 01:30:00,,75.55,,75.55
2022-09-02 01:45:00,,75.68,,75.68
2022-09-02 02:00:00,,75.58,,75.58
2022-09-02 02:15:00,,73.39,,73.39
2022-09-02 02:30:00,,74.58,,74.58
2022-09-02 02:45:00,,74.87,,74.87
