DateTime,RATE A,RATE B,RATE C,Total
2024-02-01 00:45:00,,63.71,,63.71
2024-02-01 01:00:00,,63.83,,63.83
2024-02-01 01:15:00,,62.61,,62.61
2024-02-01 01:30:00,,63.88,,63.88
2024-02-01 01:45:00,,61.71,,61.71
2024-02-01 02:00:00,,62.62,,62.62
2024-02-01 02:15:00,,62.49,,62.49
2024-02-01 02:30:00,,61.06,,61.06
2024-02-01 02:45:00,,60.28,,60.28
2024-02-01 03:00:00,,61.35,,61.35
2024-02-01 03:15:00,,58.86,,58.86
2024-02-01 03:30:00,,60.61,,60.61
2024-02-01 03:45:00,,61.54,,61.54
2024-02-01 04:00:00,,58.83,,58.83
2024-02-01 04:15:00,,59.45,,59.45
2024-02-01 04:30:00,,60.22,,60.22
2024-02-01 04:45:00,,58.09,,58.09
2024-02-01 05:00:00,,57.87,,57.87
2024-02-01 05:15:00,,59.05,,59.05
2024-02-01 05:30:00,,59.23,,59.23
2024-02-01 05:45:00,,59.57,,59.57
2024-02-01 06:00:00,,59.57,,59.57
2024-02-01 06:15:00,,60.78,,60.78
2024-02-01 06:30:00,,61.38,,61.38
2024-02-01 06:45:00,,56.51,,56.51
2024-02-01 07:00:00,,57.73,,57.73
2024-02-01 07:15:00,,63.4,,63.4
2024-02-01 07:30:00,,72.27,,72.27
2024-02-01 07:45:00,,80.6,,80.6
2024-02-01 08:00:00,,83.81,,83.81
2024-02-01 08:15:00,,85.84,,85.84
2024-02-01 08:30:00,,91.91,,91.91
2024-02-01 08:45:00,,108.56,,108.56
2024-02-01 09:00:00,,113.41,,113.41
2024-02-01 09:15:00,114.52,,,114.52
2024-02-01 09:30:00,118.21,,,118.21
2024-02-01 09:45:00,127.33,,,127.33
2024-02-01 10:00:00,138.8,,,138.8
2024-02-01 10:15:00,146.32,,,146.32
2024-02-01 10:30:00,143.15,,,143.15
2024-02-01 10:45:00,138.18,,,138.18
2024-02-01 11:00:00,148.49,,,148.49
2024-02-01 11:15:00,144.0,,,144.0
2024-02-01 11:30:00,151.55,,,151.55
2024-02-01 11:45:00,146.08,,,146.08
2024-02-01 12:00:00,149.56,,,149.56
2024-02-01 12:15:00,181.54,,,181.54
2024-02-01 12:30:00,210.09,,,210.09
2024-02-01 12:45:00,217.69,,,217.69
2024-02-01 13:00:00,222.62,,,222.62
2024-02-01 13:15:00,231.34,,,231.34
2024-02-01 13:30:00,259.23,,,259.23
2024-02-01 13:45:00,264.5,,,264.5
2024-02-01 14:00:00,275.51,,,275.51
2024-02-01 14:15:00,275.93,,,275.93
2024-02-01 14:30:00,283.54,,,283.54
2024-02-01 14:45:00,281.58,,,281.58
2024-02-01 15:00:00,287.22,,,287.22
2024-02-01 15:15:00,280.13,,,280.13
2024-02-01 15:30:00,277.73,,,277.73
2024-02-01 15:45:00,273.25,,,273.25
2024-02-01 16:00:00,249.87,,,249.87
2024-02-01 16:15:00,232.74,,,232.74
2024-02-01 16:30:00,211.67,,,211.67
2024-02-01 16:45:00,178.41,,,178.41
2024-02-01 17:00:00,159.8,,,159.8
2024-02-01 17:15:00,141.67,,,141.67
2024-02-01 17:30:00,130.3,,,130.3
2024-02-01 17:45:00,108.46,,,108.46
2024-02-01 18:00:00,101.13,,,101.13
2024-02-01 18:15:00,108.95,,,108.95
2024-02-01 18:30:00,112.14,,,112.14
2024-02-01 18:45:00,113.72,,,113.72
2024-02-01 19:00:00,111.58,,,111.58
2024-02-01 19:15:00,108.06,,,108.06
2024-02-01 19:30:00,105.9,,,105.9
2024-02-01 19:45:00,100.1,,,100.1
2024-02-01 20:00:00,94.21,,,94.21
2024-02-01 20:15:00,84.47,,,84.47
2024-02-01 20:30:00,81.36,,,81.36
2024-02-01 20:45:00,80.16,,,80.16
2024-02-01 21:00:00,79.25,,,79.25
2024-02-01 21:15:00,78.19,,,78.19
2024-02-01 21:30:00,77.15,,,77.15
2024-02-01 21:45:00,75.13,,,75.13
2024-02-01 22:00:00,75.49,,,75.49
2024-02-01 22:15:00,,76.59,,76.59
2024-02-01 22:30:00,,76.8,,76.8
2024-02-01 22:45:00,,76.32,,76.32
2024-02-01 23:00:00,,73.58,,73.58
2024-02-01 23:15:00,,70.9,,70.9
2024-02-01 23:30:00,,70.68,,70.68
2024-02-01 23:45:00,,68.0,,68.0
2024-02-02 00:15:00,,67.39,,67.39
2024-02-02 00:30:00,,65.26,,65.26
2024-02-02 00:45:00,,66.5,,66.5
2024-02-02 01:00:00,,66.32,,66.32
2024-02-02 01:15:00,,64.97,,64.97
2024-02-02 01:30:00,,64.57,,64.57
2024-02-02 01:45:00,,66.37,,66.37
2024-02-02 02:00:00,,63.31,,63.31
2024-02-02 02:15:00,,63.6,,63.6
2024-02-02 02:30:00,,65.14,,65.14
2024-02-02 02:45:00,,61.57,,61.57
2024-02-02 03:00:00,,63.65,,63.65
2024-02-02 03:15:00,,62.31,,62.31
2024-02-02 03:30:00,,61.45,,61.45
2024-02-02 03:45:00,,62.5,,62.5
2024-02-02 04:00:00,,62.89,,62.89
2024-02-02 04:15:00,,60.25,,60.25
2024-02-02 04:30:00,,62.17,,62.17
