DateTime,RATE A,RATE B,RATE C,Total
2024-06-01 00:45:00,,,68.48,68.48
2024-06-01 01:00:00,,,67.29,67.29
2024-06-01 01:15:00,,,66.65,66.65
2024-06-01 01:30:00,,,67.87,67.87
2024-06-01 01:45:00,,,66.4,66.4
2024-06-01 02:00:00,,,66.45,66.45
2024-06-01 02:15:00,,,67.32,67.32
2024-06-01 02:30:00,,,65.62,65.62
2024-06-01 02:45:00,,,64.61,64.61
2024-06-01 03:00:00,,,66.59,66.59
2024-06-01 03:15:00,,,63.49,63.49
2024-06-01 03:30:00,,,65.26,65.26
2024-06-01 03:45:00,,,65.54,65.54
2024-06-01 04:00:00,,,62.81,62.81
2024-06-01 04:15:00,,,63.71,63.71
2024-06-01 04:30:00,,,63.87,63.87
2024-06-01 04:45:00,,,61.5,61.5
2024-06-01 05:00:00,,,62.15,62.15
2024-06-01 05:15:00,,,62.91,62.91
2024-06-01 05:30:00,,,61.74,61.74
2024-06-01 05:45:00,,,59.42,59.42
2024-06-01 06:00:00,,,56.86,56.86
2024-06-01 06:15:00,,,52.93,52.93
2024-06-01 06:30:00,,,51.35,51.35
2024-06-01 06:45:00,,,49.98,49.98
2024-06-01 07:00:00,,,50.42,50.42
2024-06-01 07:15:00,,,50.18,50.18
2024-06-01 07:30:00,,,50.25,50.25
2024-06-01 07:45:00,,,50.2,50.2
2024-06-01 08:00:00,,,49.06,49.06
2024-06-01 08:15:00,,,48.01,48.01
2024-06-01 08:30:00,,,47.29,47.29
2024-06-01 08:45:00,,,51.37,51.37
2024-06-01 09:00:00,,,59.95,59.95
2024-06-01 09:15:00,,,62.93,62.93
2024-06-01 09:30:00,,,43.63,43.63
2024-06-01 09:45:00,,,35.69,35.69
2024-06-01 10:00:00,,,35.9,35.9
2024-06-01 10:15:00,,,47.1,47.1
2024-06-01 10:30:00,,,40.28,40.28
2024-06-01 10:45:00,,,29.48,29.48
2024-06-01 11:00:00,,,34.76,34.76
2024-06-01 11:15:00,,,28.55,28.55
2024-06-01 11:30:00,,,31.58,31.58
2024-06-01 11:45:00,,,31.26,31.26
2024-06-01 12:00:00,,,32.51,32.51
2024-06-01 12:15:00,,,29.25,29.25
2024-06-01 12:30:00,,,19.04,19.04
2024-06-01 12:45:00,,,14.28,14.28
2024-06-01 13:00:00,,,48.94,48.94
2024-06-01 13:15:00,,,31.23,31.23
2024-06-01 13:30:00,,,34.5,34.5
2024-06-01 13:45:00,,,26.53,26.53
2024-06-01 14:00:00,,,27.75,27.75
2024-06-01 14:15:00,,,17.97,17.97
2024-06-01 14:30:00,,,32.7,32.7
2024-06-01 14:45:00,,,30.39,30.39
2024-06-01 15:00:00,,,29.69,29.69
2024-06-01 15:15:00,,,44.26,44.26
2024-06-01 15:30:00,,,60.87,60.87
2024-06-01 15:45:00,,,71.18,71.18
2024-06-01 16:00:00,,,64.05,64.05
2024-06-01 16:15:00,,,52.11,52.11
2024-06-01 16:30:00,,,49.5,49.5
2024-06-01 16:45:00,,,53.87,53.87
2024-06-01 17:00:00,,,55.64,55.64
2024-06-01 17:15:00,,,55.7,55.7
2024-06-01 17:30:00,,,62.58,62.58
2024-06-01 17:45:00,,,65.69,65.69
2024-06-01 18:00:00,,,68.3,68.3
2024-06-01 18:15:00,,,70.32,70.32
2024-06-01 18:30:00,,,76.59,76.59
2024-06-01 18:45:00,,,83.82,83.82
2024-06-01 19:00:00,,,87.38,87.38
2024-06-01 19:15:00,,,82.34,82.34
2024-06-01 19:30:00,,,77.83,77.83
2024-06-01 19:45:00,,,75.83,75.83
2024-06-01 20:00:00,,,75.26,75.26
2024-06-01 20:15:00,,,71.04,71.04
2024-06-01 20:30:00,,,70.2,70.2
2024-06-01 20:45:00,,,70.62,70.62
2024-06-01 21:00:00,,,68.02,68.02
2024-06-01 21:15:00,,,70.01,70.01
2024-06-01 21:30:00,,,70.04,70.04
2024-06-01 21:45:00,,,70.12,70.12
2024-06-01 22:00:00,,,68.77,68.77
2024-06-01 22:15:00,,,69.06,69.06
2024-06-01 22:30:00,,,66.77,66.77
2024-06-01 22:45:00,,,67.77,67.77
2024-06-01 23:00:00,,,65.87,65.87
2024-06-01 23:15:00,,,63.73,63.73
2024-06-01 23:30:00,,,66.53,66.53
2024-06-01 23:45:00,,,63.85,63.85
2024-06-02 00:15:00,,,64.23,64.23
2024-06-02 00:30:00,,,63.05,63.05
2024-06-02 00:45:00,,,61.51,61.51
2024-06-02 01:00:00,,,63.44,63.44
2024-06-02 01:15:00,,,60.88,60.88
2024-06-02 01:30:00,,,60.51,60.51
2024-06-02 01:45:00,,,61.76,61.76
2024-06-02 02:00:00,,,60.47,60.47
2024-06-02 02:15:00,,,60.39,60.39
2024-06-02 02:30:00,,,60.87,60.87
2024-06-02 02:45:00,,,61.2,61.2
2024-06-02 03:00:00,,,60.64,60.64
2024-06-02 03:15:00,,,62.38,62.38
2024-06-02 03:30:00,,,59.59,59.59
2024-06-02 03:45:00,,,60.62,60.62
2024-06-02 04:00:00,,,60.13,60.13
2024-06-02 04:15:00,,,59.4,59.4
2024-06-02 04:30:00,,,58.14,58.14
2024-06-02 04:45:00,,,59.58,59.58
2024-06-02 05:00:00,,,57.65,57.65
2024-06-02 05:15:00,,,58.15,58.15
2024-06-02 05:30:00,,,59.88,59.88
2024-06-02 05:45:00,,,56.42,56.42
2024-06-02 06:00:00,,,51.85,51.85
2024-06-02 06:15:00,,,51.19,51.19
2024-06-02 06:30:00,,,48.95,48.95
2024-06-02 06:45:00,,,47.55,47.55
2024-06-02 07:00:00,,,44.46,44.46
2024-06-02 07:15:00,,,37.14,37.14
2024-06-02 07:30:00,,,31.72,31.72
2024-06-02 07:45:00,,,26.13,26.13
2024-06-02 08:00:00,,,25.13,25.13
2024-06-02 08:15:00,,,25.3,25.3
2024-06-02 08:30:00,,,10.41,10.41
2024-06-02 08:45:00,,,37.28,37.28
2024-06-02 09:00:00,,,46.2,46.2
2024-06-02 09:15:00,,,34.75,34.75
2024-06-02 09:30:00,,,43.17,43.17
2024-06-02 09:45:00,,,33.8,33.8
2024-06-02 10:00:00,,,23.89,23.89
2024-06-02 10:15:00,,,29.44,29.44
2024-06-02 10:30:00,,,35.35,35.35
2024-06-02 10:45:00,,,32.42,32.42
2024-06-02 11:00:00,,,36.81,36.81
2024-06-02 11:15:00,,,48.29,48.29
2024-06-02 11:30:00,,,52.29,52.29
2024-06-02 11:45:00,,,46.73,46.73
2024-06-02 12:00:00,,,44.16,44.16
2024-06-02 12:15:00,,,39.7,39.7
2024-06-02 12:30:00,,,44.33,44.33
2024-06-02 12:45:00,,,14.89,14.89
2024-06-02 13:00:00,,,36.02,36.02
2024-06-02 13:15:00,,,35.97,35.97
2024-06-02 13:30:00,,,17.01,17.01
2024-06-02 13:45:00,,,50.34,50.34
2024-06-02 14:00:00,,,36.54,36.54
2024-06-02 14:15:00,,,37.13,37.13
2024-06-02 14:30:00,,,21.47,21.47
2024-06-02 14:45:00,,,18.01,18.01
2024-06-02 15:00:00,,,43.6,43.6
2024-06-02 15:15:00,,,33.57,33.57
2024-06-02 15:30:00,,,54.72,54.72
2024-06-02 15:45:00,,,58.05,58.05
2024-06-02 16:00:00,,,28.6,28.6
2024-06-02 16:15:00,,,46.05,46.05
2024-06-02 16:30:00,,,29.27,29.27
2024-06-02 16:45:00,,,57.91,57.91
2024-06-02 17:00:00,,,55.47,55.47
2024-06-02 17:15:00,,,50.62,50.62
2024-06-02 17:30:00,,,51.74,51.74
2024-06-02 17:45:00,,,55.23,55.23
2024-06-02 18:00:00,,,56.88,56.88
2024-06-02 18:15:00,,,52.27,52.27
2024-06-02 18:30:00,,,56.02,56.02
2024-06-02 18:45:00,,,61.44,61.44
2024-06-02 19:00:00,,,65.94,65.94
2024-06-02 19:15:00,,,65.63,65.63
2024-06-02 19:30:00,,,66.01,66.01
2024-06-02 19:45:00,,,66.83,66.83
2024-06-02 20:00:00,,,67.89,67.89
2024-06-02 20:15:00,,,65.67,65.67
2024-06-02 20:30:00,,,66.0,66.0
2024-06-02 20:45:00,,,65.94,65.94
2024-06-02 21:00:00,,,67.18,67.18
2024-06-02 21:15:00,,,67.42,67.42
2024-06-02 21:30:00,,,67.87,67.87
2024-06-02 21:45:00,,,69.15,69.15
2024-06-02 22:00:00,,,67.88,67.88
2024-06-02 22:15:00,,,68.78,68.78
2024-06-02 22:30:00,,,68.46,68.46
2024-06-02 22:45:00,,,67.44,67.44
2024-06-02 23:00:00,,,69.48,69.48
2024-06-02 23:15:00,,,68.95,68.95
2024-06-02 23:30:00,,,68.12,68.12
2024-06-02 23:45:00,,,67.0,67.0
2024-06-03 00:15:00,,,65.93,65.93
2024-06-03 00:30:00,,,66.29,66.29
2024-06-03 00:45:00,,,65.36,65.36
2024-06-03 01:00:00,,,64.24,64.24
2024-06-03 01:15:00,,,64.4,64.4
2024-06-03 01:30:00,,,64.92,64.92
2024-06-03 01:45:00,,,61.88,61.88
2024-06-03 02:00:00,,,63.01,63.01
2024-06-03 02:15:00,,,61.21,61.21
2024-06-03 02:30:00,,,60.28,60.28
2024-06-03 02:45:00,,,61.01,61.01
2024-06-03 03:00:00,,,61.35,61.35
2024-06-03 03:15:00,,,59.6,59.6
2024-06-03 03:30:00,,,61.48,61.48
2024-06-03 03:45:00,,,60.2,60.2
2024-06-03 04:00:00,,,59.18,59.18
2024-06-03 04:15:00,,,57.37,57.37
2024-06-03 04:30:00,,,57.92,57.92
2024-06-03 04:45:00,,,57.43,57.43
2024-06-03 05:00:00,,,58.48,58.48
2024-06-03 05:15:00,,,56.21,56.21
2024-06-03 05:30:00,,,57.18,57.18
2024-06-03 05:45:00,,,54.87,54.87
2024-06-03 06:00:00,,,54.21,54.21
2024-06-03 06:15:00,,,48.6,48.6
2024-06-03 06:30:00,,,47.14,47.14
2024-06-03 06:45:00,,,46.21,46.21
2024-06-03 07:00:00,,,44.43,44.43
2024-06-03 07:15:00,,,44.35,44.35
2024-06-03 07:30:00,,,41.55,41.55
2024-06-03 07:45:00,,,43.72,43.72
2024-06-03 08:00:00,,,43.65,43.65
2024-06-03 08:15:00,,,37.78,37.78
2024-06-03 08:30:00,,,31.92,31.92
2024-06-03 08:45:00,,,31.35,31.35
2024-06-03 09:00:00,,,24.06,24.06
2024-06-03 09:15:00,,,12.92,12.92
2024-06-03 09:30:00,,,20.98,20.98
2024-06-03 09:45:00,,,30.94,30.94
2024-06-03 10:00:00,,,30.9,30.9
2024-06-03 10:15:00,,,33.77,33.77
2024-06-03 10:30:00,,,32.89,32.89
2024-06-03 10:45:00,,,24.63,24.63
2024-06-03 11:00:00,,,38.71,38.71
2024-06-03 11:15:00,,,49.15,49.15
2024-06-03 11:30:00,,,20.81,20.81
2024-06-03 11:45:00,,,18.7,18.7
2024-06-03 12:00:00,,,21.62,21.62
2024-06-03 12:15:00,,,44.93,44.93
2024-06-03 12:30:00,,,54.45,54.45
2024-06-03 12:45:00,,,38.03,38.03
2024-06-03 13:00:00,,,28.15,28.15
2024-06-03 13:15:00,,,23.77,23.77
2024-06-03 13:30:00,,,3.25,3.25
2024-06-03 13:45:00,,,2.85,2.85
2024-06-03 14:00:00,,,31.93,31.93
2024-06-03 14:15:00,,,38.06,38.06
2024-06-03 14:30:00,,,41.98,41.98
2024-06-03 14:45:00,,,30.98,30.98
2024-06-03 15:00:00,,,36.65,36.65
2024-06-03 15:15:00,,,73.88,73.88
2024-06-03 15:30:00,,,69.89,69.89
2024-06-03 15:45:00,,,70.31,70.31
2024-06-03 16:00:00,,,74.49,74.49
2024-06-03 16:15:00,,,82.42,82.42
2024-06-03 16:30:00,,,74.39,74.39
2024-06-03 16:45:00,,,77.6,77.6
2024-06-03 17:00:00,,,89.11,89.11
2024-06-03 17:15:00,,,93.51,93.51
2024-06-03 17:30:00,,,90.18,90.18
2024-06-03 17:45:00,,,92.06,92.06
2024-06-03 18:00:00,,,91.64,91.64
2024-06-03 18:15:00,,,99.31,99.31
2024-06-03 18:30:00,,,104.58,104.58
2024-06-03 18:45:00,,,106.51,106.51
2024-06-03 19:00:00,,,110.83,110.83
2024-06-03 19:15:00,,,111.54,111.54
2024-06-03 19:30:00,,,108.58,108.58
2024-06-03 19:45:00,,,110.79,110.79
2024-06-03 20:00:00,,,105.89,105.89
2024-06-03 20:15:00,,,81.82,81.82
